state	2012	2013	2014	2015	2016
AK	15	22	27	29	29
AL	6	4	3	1	1
AR	12	18	14	13	18
AZ	42	34	26	17	15
CA	141	169	171	167	141
CO	51	53	59	61	62
CT	3	5	5	7	8
DC	0	0	0	0	0
DE	0	0	0	0	0
FL	9	17	30	37	39
GA	21	23	25	22	33
HI	0	1	1	2	3
IA	9	6	3	1	8
ID	0	2	3	4	4
IL	45	43	40	34	29
IN	3	4	4	8	10
KS	15	12	8	8	7
KY	6	4	7	6	6
LA	60	59	69	77	69
MA	15	20	17	20	15
MD	12	11	10	14	15
ME	9	6	3	0	0
MI	9	11	8	7	3
MN	30	32	27	23	15
MO	6	5	8	7	10
MS	6	4	2	3	3
MT	3	2	1	1	1
NC	18	17	17	19	18
ND	42	42	39	32	22
NE	6	9	12	19	25
NH	0	0	0	0	0
NJ	39	58	63	70	56
NM	12	12	9	8	4
NV	21	19	20	18	18
NY	60	61	62	69	69
OH	3	7	8	12	13
OK	42	41	48	48	44
OR	0	0	0	1	10
PA	63	62	51	39	29
RI	0	0	0	0	0
SC	0	0	0	3	4
SD	0	0	0	0	0
TN	3	4	5	9	15
TX	768	822	833	870	744
UT	21	21	17	15	12
VA	36	37	47	45	39
VT	0	0	0	0	0
WA	42	37	30	26	24
WI	0	2	3	3	1
WV	3	6	7	8	4
WY	9	9	8	13	13
